Time	Entity	Frame	SF	Slot	nodeId	RNTI	bwpId	MsgType
0.0179286	UE  PHY Txed	1	7	0	1	0	0	RACH_PREAMBLE
0.0179286	UE  PHY Txed	1	7	0	1	0	0	RACH_PREAMBLE
0.0179286	UE  PHY Txed	1	7	0	3	0	0	RACH_PREAMBLE
0.0179286	UE  PHY Txed	1	7	0	3	0	0	RACH_PREAMBLE
0.0179286	UE  PHY Txed	1	7	0	3	0	0	RACH_PREAMBLE
0.0179286	UE  PHY Txed	1	7	0	3	0	0	RACH_PREAMBLE
0.0179286	UE  PHY Txed	1	7	0	3	0	0	RACH_PREAMBLE
0.0179286	UE  PHY Txed	1	7	0	3	0	0	RACH_PREAMBLE
0.0179286	UE  PHY Txed	1	7	0	3	0	0	RACH_PREAMBLE
0.0179286	UE  PHY Txed	1	7	0	3	0	0	RACH_PREAMBLE
0.0179286	UE  PHY Txed	1	7	0	3	0	0	RACH_PREAMBLE
0.0179286	UE  PHY Txed	1	7	0	3	0	0	RACH_PREAMBLE
0.0179286	UE  PHY Txed	1	7	0	1	0	0	RACH_PREAMBLE
0.0179286	UE  PHY Txed	1	7	0	3	0	0	RACH_PREAMBLE
0.0179286	UE  PHY Txed	1	7	0	1	0	0	RACH_PREAMBLE
0.0179286	UE  PHY Txed	1	7	0	1	0	0	RACH_PREAMBLE
0.0179286	UE  PHY Txed	1	7	0	1	0	0	RACH_PREAMBLE
0.0179286	UE  PHY Txed	1	7	0	3	0	0	RACH_PREAMBLE
0.0179286	UE  PHY Txed	1	7	0	1	0	0	RACH_PREAMBLE
0.0179286	UE  PHY Txed	1	7	0	3	0	0	RACH_PREAMBLE
0.0179286	UE  PHY Txed	1	7	0	3	0	0	RACH_PREAMBLE
0.0179286	UE  PHY Txed	1	7	0	3	0	0	RACH_PREAMBLE
0.0179286	UE  PHY Txed	1	7	0	3	0	0	RACH_PREAMBLE
0.0179286	UE  PHY Txed	1	7	0	3	0	0	RACH_PREAMBLE
0.0258571	UE  PHY Txed	2	5	0	1	4	0	SRS
0.0259286	UE  PHY Txed	2	5	0	3	0	0	RACH_PREAMBLE
0.0259286	UE  PHY Txed	2	5	0	3	0	0	RACH_PREAMBLE
0.0259286	UE  PHY Txed	2	5	0	3	0	0	RACH_PREAMBLE
0.0259286	UE  PHY Txed	2	5	0	3	0	0	RACH_PREAMBLE
0.0259286	UE  PHY Txed	2	5	0	3	0	0	RACH_PREAMBLE
0.0268571	UE  PHY Txed	2	6	0	3	4	0	SRS
0.0348571	UE  PHY Txed	3	4	0	1	7	0	SRS
0.0358571	UE  PHY Txed	3	5	0	3	2	0	SRS
0.0368571	UE  PHY Txed	3	6	0	1	3	0	SRS
0.0388571	UE  PHY Txed	3	8	0	1	5	0	SRS
0.0438571	UE  PHY Txed	4	3	0	3	18	0	SRS
0.0498571	UE  PHY Txed	4	9	0	3	20	0	SRS
0.0558571	UE  PHY Txed	5	5	0	3	22	0	SRS
0.0588571	UE  PHY Txed	5	8	0	1	1	0	SRS
0.0598571	UE  PHY Txed	5	9	0	3	7	0	SRS
0.0618571	UE  PHY Txed	6	1	0	3	8	0	SRS
0.0648571	UE  PHY Txed	6	4	0	1	2	0	SRS
0.0658571	UE  PHY Txed	6	5	0	3	12	0	SRS
0.0738571	UE  PHY Txed	7	3	0	3	10	0	SRS
0.0758571	UE  PHY Txed	7	5	0	3	6	0	SRS
0.0818571	UE  PHY Txed	8	1	0	3	1	0	SRS
0.0848571	UE  PHY Txed	8	4	0	3	9	0	SRS
0.0858571	UE  PHY Txed	8	5	0	3	3	0	SRS
0.0908571	UE  PHY Txed	9	0	0	3	19	0	SRS
0.0938571	UE  PHY Txed	9	3	0	3	11	0	SRS
0.0948571	UE  PHY Txed	9	4	0	3	5	0	SRS
0.0958571	UE  PHY Txed	9	5	0	1	6	0	SRS
0.101857	UE  PHY Txed	10	1	0	3	21	0	SRS
0.105857	UE  PHY Txed	10	5	0	1	4	0	SRS
0.106857	UE  PHY Txed	10	6	0	3	4	0	SRS
0.114857	UE  PHY Txed	11	4	0	1	7	0	SRS
0.115857	UE  PHY Txed	11	5	0	3	2	0	SRS
0.116857	UE  PHY Txed	11	6	0	1	3	0	SRS
0.118857	UE  PHY Txed	11	8	0	1	5	0	SRS
0.123857	UE  PHY Txed	12	3	0	3	18	0	SRS
0.129857	UE  PHY Txed	12	9	0	3	20	0	SRS
0.135857	UE  PHY Txed	13	5	0	3	22	0	SRS
0.138857	UE  PHY Txed	13	8	0	1	1	0	SRS
