Time	Entity	Frame	SF	Slot	nodeId	RNTI	bwpId	MsgType
0.018	gNB PHY Rxed	1	7	0	1	0	0	RACH_PREAMBLE
0.018	gNB PHY Rxed	1	7	0	1	0	0	RACH_PREAMBLE
0.018	gNB PHY Rxed	1	7	0	1	0	0	RACH_PREAMBLE
0.018	gNB PHY Rxed	1	7	0	1	0	0	RACH_PREAMBLE
0.018	gNB PHY Rxed	1	7	0	1	0	0	RACH_PREAMBLE
0.018	gNB PHY Rxed	1	7	0	1	0	0	RACH_PREAMBLE
0.018	gNB PHY Rxed	1	7	0	1	0	0	RACH_PREAMBLE
0.018	gNB PHY Rxed	1	7	0	3	0	0	RACH_PREAMBLE
0.018	gNB PHY Rxed	1	7	0	3	0	0	RACH_PREAMBLE
0.018	gNB PHY Rxed	1	7	0	3	0	0	RACH_PREAMBLE
0.018	gNB PHY Rxed	1	7	0	3	0	0	RACH_PREAMBLE
0.018	gNB PHY Rxed	1	7	0	3	0	0	RACH_PREAMBLE
0.018	gNB PHY Rxed	1	7	0	3	0	0	RACH_PREAMBLE
0.018	gNB PHY Rxed	1	7	0	3	0	0	RACH_PREAMBLE
0.018	gNB PHY Rxed	1	7	0	3	0	0	RACH_PREAMBLE
0.018	gNB PHY Rxed	1	7	0	3	0	0	RACH_PREAMBLE
0.018	gNB PHY Rxed	1	7	0	3	0	0	RACH_PREAMBLE
0.018	gNB PHY Rxed	1	7	0	3	0	0	RACH_PREAMBLE
0.018	gNB PHY Rxed	1	7	0	3	0	0	RACH_PREAMBLE
0.018	gNB PHY Rxed	1	7	0	3	0	0	RACH_PREAMBLE
0.018	gNB PHY Rxed	1	7	0	3	0	0	RACH_PREAMBLE
0.018	gNB PHY Rxed	1	7	0	3	0	0	RACH_PREAMBLE
0.018	gNB PHY Rxed	1	7	0	3	0	0	RACH_PREAMBLE
0.018	gNB PHY Rxed	1	7	0	3	0	0	RACH_PREAMBLE
0.0259286	gNB PHY Rxed	2	5	0	3	0	0	SRS
0.0259286	gNB PHY Rxed	2	5	0	1	0	0	SRS
0.026	gNB PHY Rxed	2	5	0	3	0	0	RACH_PREAMBLE
0.026	gNB PHY Rxed	2	5	0	3	0	0	RACH_PREAMBLE
0.026	gNB PHY Rxed	2	5	0	3	0	0	RACH_PREAMBLE
0.026	gNB PHY Rxed	2	5	0	3	0	0	RACH_PREAMBLE
0.026	gNB PHY Rxed	2	5	0	3	0	0	RACH_PREAMBLE
0.026	gNB PHY Rxed	2	5	0	3	0	0	RACH_PREAMBLE
0.0309286	gNB PHY Rxed	3	0	0	3	0	0	SRS
0.0349286	gNB PHY Rxed	3	4	0	1	0	0	SRS
0.0369286	gNB PHY Rxed	3	6	0	1	0	0	SRS
0.0379286	gNB PHY Rxed	3	7	0	3	0	0	SRS
0.0389286	gNB PHY Rxed	3	8	0	1	0	0	SRS
0.0419286	gNB PHY Rxed	4	1	0	3	0	0	SRS
0.0439286	gNB PHY Rxed	4	3	0	3	0	0	SRS
0.0589286	gNB PHY Rxed	5	8	0	1	0	0	SRS
0.0649286	gNB PHY Rxed	6	4	0	1	0	0	SRS
0.0759286	gNB PHY Rxed	7	5	0	3	0	0	SRS
0.0769286	gNB PHY Rxed	7	6	0	3	0	0	SRS
0.0789286	gNB PHY Rxed	7	8	0	3	0	0	SRS
0.0799286	gNB PHY Rxed	7	9	0	3	0	0	SRS
0.0819286	gNB PHY Rxed	8	1	0	3	0	0	SRS
0.0849286	gNB PHY Rxed	8	4	0	3	0	0	SRS
0.0869286	gNB PHY Rxed	8	6	0	3	0	0	SRS
0.0939286	gNB PHY Rxed	9	3	0	3	0	0	SRS
0.0949286	gNB PHY Rxed	9	4	0	3	0	0	SRS
0.0959286	gNB PHY Rxed	9	5	0	1	0	0	SRS
0.0999286	gNB PHY Rxed	9	9	0	3	0	0	SRS
0.102929	gNB PHY Rxed	10	2	0	3	0	0	SRS
0.105929	gNB PHY Rxed	10	5	0	3	0	0	SRS
0.105929	gNB PHY Rxed	10	5	0	1	0	0	SRS
0.107929	gNB PHY Rxed	10	7	0	3	0	0	SRS
0.110929	gNB PHY Rxed	11	0	0	3	0	0	SRS
