% time(s)	cellId	bwpId	IMSI	RNTI	frame	sframe	slot	symStart	numSym	harqId	ndi	rv	mcs	tbSize
0.411	1	0	0	1	41	3	0	1	12	15	1	0	0	1404
0.411	3	0	0	1	41	3	0	1	12	15	1	0	0	1404
0.412	1	0	0	1	41	4	0	1	12	14	1	0	0	1404
0.412	3	0	0	1	41	4	0	1	12	14	1	0	0	1404
0.413	1	0	0	1	41	5	0	1	12	13	1	0	0	1404
0.413	3	0	0	1	41	5	0	1	12	13	1	0	0	1404
0.414	1	0	0	1	41	6	0	1	12	12	1	0	0	1404
0.414	3	0	0	1	41	6	0	1	12	12	1	0	0	1404
0.415	1	0	0	1	41	7	0	1	12	11	1	0	0	1404
0.415	3	0	0	1	41	7	0	1	12	11	1	0	0	1404
0.416	1	0	0	1	41	8	0	1	12	15	1	0	0	1404
0.416	3	0	0	1	41	8	0	1	12	15	1	0	0	1404
0.417	1	0	0	1	41	9	0	1	12	14	1	0	16	21025
0.417	3	0	0	1	41	9	0	1	12	14	1	0	28	48356
0.418	1	0	0	1	42	0	0	1	12	13	1	0	16	21025
0.418	3	0	0	1	42	0	0	1	12	13	1	0	28	48356
0.419	1	0	0	1	42	1	0	1	12	12	1	0	16	21025
0.419	3	0	0	1	42	1	0	1	9	12	1	0	28	36268
0.42	1	0	0	1	42	2	0	1	12	11	1	0	16	21025
0.42	3	0	0	1	42	2	0	1	4	11	1	0	28	16118
0.421	1	0	0	1	42	3	0	1	12	15	1	0	16	21025
0.421	3	0	0	1	42	3	0	1	4	15	1	0	28	16118
0.422	1	0	0	1	42	4	0	1	12	14	1	0	16	21025
0.422	3	0	0	1	42	4	0	1	4	14	1	0	28	16118
0.423	1	0	0	1	42	5	0	1	12	13	1	0	16	21025
0.423	3	0	0	1	42	5	0	1	4	13	1	0	28	16118
0.424	1	0	0	1	42	6	0	1	12	12	1	0	16	21025
0.424	3	0	0	1	42	6	0	1	4	12	1	0	28	16118
0.425	1	0	0	1	42	7	0	1	12	11	1	0	28	48356
0.425	3	0	0	1	42	7	0	1	4	11	1	0	28	16118
0.426	1	0	0	1	42	8	0	1	5	15	1	0	28	20149
0.426	3	0	0	1	42	8	0	1	4	15	1	0	28	16118
0.427	1	0	0	1	42	9	0	1	4	14	1	0	28	16118
0.427	3	0	0	1	42	9	0	1	4	14	1	0	28	16118
0.428	1	0	0	1	43	0	0	1	4	13	1	0	28	16118
0.428	3	0	0	1	43	0	0	1	4	13	1	0	28	16118
0.429	1	0	0	1	43	1	0	1	4	12	1	0	28	16118
0.429	3	0	0	1	43	1	0	1	4	12	1	0	28	16118
0.43	1	0	0	1	43	2	0	1	4	11	1	0	28	16118
0.43	3	0	0	1	43	2	0	1	4	11	1	0	28	16118
0.431	1	0	0	1	43	3	0	1	4	15	1	0	28	16118
0.431	3	0	0	1	43	3	0	1	4	15	1	0	28	16118
0.432	3	0	0	1	43	4	0	1	4	14	1	0	28	16118
0.433	3	0	0	1	43	5	0	1	4	13	1	0	28	16118
0.434	3	0	0	1	43	6	0	1	4	12	1	0	28	16118
0.435	3	0	0	1	43	7	0	1	4	11	1	0	28	16118
0.436	3	0	0	1	43	8	0	1	4	15	1	0	28	16118
0.437	1	0	0	1	43	9	0	1	12	14	1	0	16	21025
0.437	3	0	0	1	43	9	0	1	4	14	1	0	28	16118
0.438	1	0	0	1	44	0	0	1	12	13	1	0	28	48356
0.438	3	0	0	1	44	0	0	1	4	13	1	0	28	16118
0.439	1	0	0	1	44	1	0	1	12	12	1	0	28	48356
0.439	3	0	0	1	44	1	0	1	4	12	1	0	28	16118
0.44	1	0	0	1	44	2	0	1	5	11	1	0	28	20149
0.44	3	0	0	1	44	2	0	1	4	11	1	0	28	16118
0.441	1	0	0	1	44	3	0	1	4	15	1	0	28	16118
0.441	3	0	0	1	44	3	0	1	4	15	1	0	28	16118
0.442	1	0	0	1	44	4	0	1	4	14	1	0	28	16118
0.442	3	0	0	1	44	4	0	1	4	14	1	0	28	16118
0.443	1	0	0	1	44	5	0	1	4	13	1	0	28	16118
0.443	3	0	0	1	44	5	0	1	4	13	1	0	28	16118
0.444	1	0	0	1	44	6	0	1	4	12	1	0	28	16118
0.444	3	0	0	1	44	6	0	1	4	12	1	0	28	16118
0.445	1	0	0	1	44	7	0	1	4	11	1	0	28	16118
0.445	3	0	0	1	44	7	0	1	4	11	1	0	28	16118
0.446	3	0	0	1	44	8	0	1	4	15	1	0	28	16118
0.447	3	0	0	1	44	9	0	1	4	14	1	0	28	16118
0.448	3	0	0	1	45	0	0	1	4	13	1	0	28	16118
0.449	3	0	0	1	45	1	0	1	4	12	1	0	28	16118
0.45	3	0	0	1	45	2	0	1	4	11	1	0	28	16118
0.451	1	0	0	1	45	3	0	1	12	15	1	0	16	21025
0.451	3	0	0	1	45	3	0	1	4	15	1	0	28	16118
0.452	1	0	0	1	45	4	0	1	12	14	1	0	28	48356
0.452	3	0	0	1	45	4	0	1	4	14	1	0	28	16118
0.453	1	0	0	1	45	5	0	1	12	13	1	0	28	48356
0.453	3	0	0	1	45	5	0	1	4	13	1	0	28	16118
0.454	1	0	0	1	45	6	0	1	5	12	1	0	28	20149
0.454	3	0	0	1	45	6	0	1	4	12	1	0	28	16118
0.455	1	0	0	1	45	7	0	1	4	11	1	0	28	16118
0.455	3	0	0	1	45	7	0	1	4	11	1	0	28	16118
0.456	1	0	0	1	45	8	0	1	4	15	1	0	28	16118
0.456	3	0	0	1	45	8	0	1	4	15	1	0	28	16118
0.457	1	0	0	1	45	9	0	1	4	14	1	0	28	16118
0.457	3	0	0	1	45	9	0	1	4	14	1	0	28	16118
0.458	1	0	0	1	46	0	0	1	4	13	1	0	28	16118
0.458	3	0	0	1	46	0	0	1	4	13	1	0	28	16118
0.459	1	0	0	1	46	1	0	1	4	12	1	0	28	16118
0.459	3	0	0	1	46	1	0	1	4	12	1	0	28	16118
0.46	3	0	0	1	46	2	0	1	4	11	1	0	28	16118
0.461	3	0	0	1	46	3	0	1	4	15	1	0	28	16118
0.462	3	0	0	1	46	4	0	1	4	14	1	0	28	16118
0.463	3	0	0	1	46	5	0	1	4	13	1	0	28	16118
0.464	3	0	0	1	46	6	0	1	4	12	1	0	28	16118
0.465	1	0	0	1	46	7	0	1	12	11	1	0	16	21025
0.465	3	0	0	1	46	7	0	1	4	11	1	0	28	16118
0.466	1	0	0	1	46	8	0	1	12	15	1	0	28	48356
0.466	3	0	0	1	46	8	0	1	4	15	1	0	28	16118
0.467	1	0	0	1	46	9	0	1	12	14	1	0	28	48356
0.467	3	0	0	1	46	9	0	1	4	14	1	0	28	16118
0.468	1	0	0	1	47	0	0	1	5	13	1	0	28	20149
0.468	3	0	0	1	47	0	0	1	4	13	1	0	28	16118
0.469	1	0	0	1	47	1	0	1	4	12	1	0	28	16118
0.469	3	0	0	1	47	1	0	1	4	12	1	0	28	16118
0.47	1	0	0	1	47	2	0	1	4	11	1	0	28	16118
0.47	3	0	0	1	47	2	0	1	4	11	1	0	28	16118
0.471	1	0	0	1	47	3	0	1	4	15	1	0	28	16118
0.471	3	0	0	1	47	3	0	1	4	15	1	0	28	16118
0.472	1	0	0	1	47	4	0	1	4	14	1	0	28	16118
0.472	3	0	0	1	47	4	0	1	4	14	1	0	28	16118
0.473	1	0	0	1	47	5	0	1	4	13	1	0	28	16118
0.473	3	0	0	1	47	5	0	1	4	13	1	0	28	16118
0.474	3	0	0	1	47	6	0	1	4	12	1	0	28	16118
0.475	3	0	0	1	47	7	0	1	4	11	1	0	28	16118
0.476	3	0	0	1	47	8	0	1	4	15	1	0	28	16118
0.477	3	0	0	1	47	9	0	1	4	14	1	0	28	16118
0.478	3	0	0	1	48	0	0	1	4	13	1	0	28	16118
0.479	1	0	0	1	48	1	0	1	12	12	1	0	16	21025
0.479	3	0	0	1	48	1	0	1	4	12	1	0	28	16118
0.48	1	0	0	1	48	2	0	1	12	11	1	0	28	48356
0.48	3	0	0	1	48	2	0	1	4	11	1	0	28	16118
0.481	1	0	0	1	48	3	0	1	12	15	1	0	28	48356
0.481	3	0	0	1	48	3	0	1	4	15	1	0	28	16118
0.482	1	0	0	1	48	4	0	1	5	14	1	0	28	20149
0.482	3	0	0	1	48	4	0	1	4	14	1	0	28	16118
0.483	1	0	0	1	48	5	0	1	4	13	1	0	28	16118
0.483	3	0	0	1	48	5	0	1	4	13	1	0	28	16118
0.484	1	0	0	1	48	6	0	1	4	12	1	0	28	16118
0.484	3	0	0	1	48	6	0	1	4	12	1	0	28	16118
0.485	1	0	0	1	48	7	0	1	4	11	1	0	28	16118
0.485	3	0	0	1	48	7	0	1	4	11	1	0	28	16118
0.486	1	0	0	1	48	8	0	1	4	15	1	0	28	16118
0.486	3	0	0	1	48	8	0	1	4	15	1	0	28	16118
0.487	1	0	0	1	48	9	0	1	4	14	1	0	28	16118
0.487	3	0	0	1	48	9	0	1	4	14	1	0	28	16118
0.488	3	0	0	1	49	0	0	1	4	13	1	0	28	16118
0.489	3	0	0	1	49	1	0	1	4	12	1	0	28	16118
0.49	3	0	0	1	49	2	0	1	4	11	1	0	28	16118
0.491	3	0	0	1	49	3	0	1	4	15	1	0	28	16118
0.492	3	0	0	1	49	4	0	1	4	14	1	0	28	16118
0.493	1	0	0	1	49	5	0	1	12	13	1	0	16	21025
0.493	3	0	0	1	49	5	0	1	4	13	1	0	28	16118
0.494	1	0	0	1	49	6	0	1	12	12	1	0	28	48356
0.494	3	0	0	1	49	6	0	1	4	12	1	0	28	16118
0.495	1	0	0	1	49	7	0	1	12	11	1	0	28	48356
0.495	3	0	0	1	49	7	0	1	4	11	1	0	28	16118
0.496	1	0	0	1	49	8	0	1	5	15	1	0	28	20149
0.496	3	0	0	1	49	8	0	1	4	15	1	0	28	16118
0.497	1	0	0	1	49	9	0	1	4	14	1	0	28	16118
0.497	3	0	0	1	49	9	0	1	4	14	1	0	28	16118
0.498	1	0	0	1	50	0	0	1	4	13	1	0	28	16118
0.498	3	0	0	1	50	0	0	1	4	13	1	0	28	16118
0.499	1	0	0	1	50	1	0	1	4	12	1	0	28	16118
0.499	3	0	0	1	50	1	0	1	4	12	1	0	28	16118
0.5	1	0	0	1	50	2	0	1	4	11	1	0	28	16118
0.5	3	0	0	1	50	2	0	1	4	11	1	0	28	16118
0.501	1	0	0	1	50	3	0	1	4	15	1	0	28	16118
0.501	3	0	0	1	50	3	0	1	4	15	1	0	28	16118
